"NATION1502","NAT","国籍",,"ソロモン諸島","","","","","",""
"NATION1600","NAT","国籍",,"タイ王国","","","","","",""
"NATION1601","NAT","国籍",,"大韓民国","","","","","",""
"NATION1602","NAT","国籍",,"タイワン（台湾）","","","","","",""
"NATION1603","NAT","国籍",,"タジキスタン共和国","","","","","",""
"NATION1604","NAT","国籍",,"タンザニア連合共和国","","","","","",""
"NATION1700","NAT","国籍",,"チェコ共和国","","","","","",""
"NATION1701","NAT","国籍",,"チャード共和国","","","","","",""
"NATION1702","NAT","国籍",,"中央アフリカ共和国","","","","","",""
"NATION1703","NAT","国籍",,"中華人民共和国","","","","","",""
"NATION1704","NAT","国籍",,"チリ共和国","","","","","",""
"NATION1800","NAT","国籍",,"テュニジア共和国","","","","","",""
"SDI10024001","SDI","SDI値算出用基礎データ",,"1","1.37","0.05","0.131","0.028","",""
"SDI10024002","SDI","SDI値算出用基礎データ",,"1","1.32","0.06","0.131","0.028","",""
"SDI10033001","SDI","SDI値算出用基礎データ",,"0","20.00","4.66","-0.202","0.194","",""
"SDI10033002","SDI","SDI値算出用基礎データ",,"6","2.21","0.12","-0.202","0.194","",""
"SDI13022001","SDI","SDI値算出用基礎データ",,"0","105.07","14.20","-0.264","0.200","",""
"LST0050008","LST","生理検査統計",,"26611","00","7","","","","骨密度"
"LST0050101","LST","３ヶ月推移　ドック対象コース",,"100","","","","","",""
"CHGSETGRP210","CSE","受診セット変更グループ",04-01-01,"K0590","婦人科","","","","",""
"GDE64000032","GDE","生活指導メッセージ",04-01-01,"202020","203020","203020","203020","203020","",""
"GDE64000033","GDE","生活指導メッセージ",04-01-01,"202030","203030","203030","203030","203030","",""
"GDE64000042","GDE","生活指導メッセージ",04-01-01,"202040","203040","203040","203040","203040","",""
"GDE64000043","GDE","生活指導メッセージ",04-01-01,"202050","203050","203050","203050","203050","",""
"GDE64000062","GDE","生活指導メッセージ",04-01-01,"202080","203080","203080","203080","203080","",""
"GDE64000063","GDE","生活指導メッセージ",04-01-01,"202090","203090","203090","203090","203090","",""
"RSVSETGRP010","RSG","予約群セットグループ",04-01-03,"オプション大腸鏡","","","","","",""
"RSVSETGRP011","RSG","予約群セットグループ",04-01-03,"後日胃内視鏡","","","","","",""
"NYUBOU","NYU","乳房判定用検査項目コード",,"30032-00","27770-01","28700-01","54","55","56",""
"LST0004201","LST","ワークシート個人票チェックリスト",,"100","","","","","",""
"LST0004202","LST","ワークシート個人票チェックリスト",,"110","","","","","",""
"LST0004211","LST","ワークシート個人票チェックリスト",,"X545","1","胃Ｘ線","","","",""
"LST0004212","LST","ワークシート個人票チェックリスト",,"X545","2","胃内視鏡","","","",""
"LST0004213","LST","ワークシート個人票チェックリスト",,"X545","3","後日内視鏡","","","",""
"MORSETGRP01","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"1","診察","K0010","","","",""
"MORSETGRP02","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"2","体格","K0020","","","",""
"MORSETGRP03","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"3","腹囲","K0030","","","",""
"MORSETGRP04","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"4","血圧","K0040","","","",""
"MORSETGRP05","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"5","視力","K0050","","","",""
"MORSETGRP06","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"6","眼圧","K0060","","","",""
"MORSETGRP07","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"7","眼底（右）","K0070","","","",""
"MORSETGRP08","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"8","眼底（左）","K0080","","","",""
"MORSETGRP09","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"9","聴力","K0090","","","",""
"MORSETGRP10","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"10","肺機能","K0100","","","",""
"MORSETGRP11","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"11","心電図","K0110","","","",""
"MORSETGRP12","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"12","腹部超音波","K0120","","","",""
"MORSETGRP13","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"13","骨密度","K0130","","","",""
"MORSETGRP14","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"14","胸部Ｘ線１","K0140","","","",""
"MORSETGRP15","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"15","胸部Ｘ線２","K0150","","","",""
"MORSETGRP16","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"16","胃Ｘ線","K0160","","","",""
"MORSETGRP17","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"17","胃透視前チェック","K0170","","","",""
"LST0050201","LST","３ヶ月推移　企業健診対象コース",,"110","","","","","",""
"ALC01","ALC","飲酒量合数係数－ビール大瓶",,"60180","1.352941176","","","","",""
"ALC02","ALC","飲酒量合数係数－ビール３５０ｍｌ缶",,"60181","0.748663102","","","","",""
"ALC03","ALC","飲酒量合数係数－ビール５００ｍｌ缶",,"60182","1.069518717","","","","",""
"ALC04","ALC","飲酒量合数係数－日本酒",,"60183","1","","","","",""
"ALC05","ALC","飲酒量合数係数－焼酎",,"60184","0.470588235","","","","",""
"ALC06","ALC","飲酒量合数係数－ワイン",,"60185","0.390374332","","","","",""
"ALC07","ALC","飲酒量合数係数－ウイスキー・ブランデー",,"60186","0.379679144","","","","",""
"ALC08","ALC","飲酒量合数係数－その他",,"60187","0.470588235","","","","",""
"ALC60180-03","ALC","飲酒量合数係数－ビール大瓶",03-12-23,"1.352941176","","","","","",""
"ALC60181-03","ALC","飲酒量合数係数－ビール３５０ｍｌ缶",03-12-23,"0.748663102","","","","","",""
"ALC60182-03","ALC","飲酒量合数係数－ビール５００ｍｌ缶",03-12-23,"1.069518717","","","","","",""
"ALC60183-03","ALC","飲酒量合数係数－日本酒",03-12-23,"1","","","","","",""
"ALC60184-03","ALC","飲酒量合数係数－焼酎",03-12-23,"0.470588235","","","","","",""
"ALC60185-03","ALC","飲酒量合数係数－ワイン",03-12-23,"0.390374332","","","","","",""
"ALC60186-03","ALC","飲酒量合数係数－ウイスキー・ブランデー",03-12-23,"0.379679144","","","","","",""
"ALC60187-03","ALC","飲酒量合数係数－その他",03-12-23,"0.470588235","","","","","",""
"BANK01","BAN","銀行",,"郵便局","","1","","","",""
"BANK02","BAN","銀行",,"UFJ","","16","","","",""
"BANK03","BAN","銀行",,"みずほ","","3","","","",""
"BANK04","BAN","銀行",,"三井住友","","4","","","",""
"CANCEL1","RSV","キャンセル理由",,"院内都合","","1","","","",""
"CANCEL2","RSV","キャンセル理由",,"操作ミス","","2","","","",""
"CANCEL3","RSV","キャンセル理由",,"受診者キャンセル","","3","","","",""
"CANCEL4","RSV","キャンセル理由",,"生理のため","","4","","","",""
"CANCEL5","RSV","キャンセル理由",,"仕事のため","","5","","","",""
"CANCEL6","RSV","キャンセル理由",,"病気のため","","6","","","",""
"CAREDISP01","CRD","判定分類－身長",,"10","0","","","","",""
"CAREDISP02","CRD","判定分類－視機能",,"20","1","","","","",""
"CAREDISP03","CRD","判定分類－聴力",,"30","2","","","","",""
"CAREDISP04","CRD","判定分類－血圧",,"40","3","","","","",""
"CAREDISP05","CRD","判定分類－心電図",,"50","4","","","","",""
"CAREDISP06","CRD","判定分類－胸部",,"60","13","","","","",""
"CAREDISP07","CRD","判定分類－胃部",,"70","14","","","","",""
"CAREDISP08","CRD","判定分類－眼底",,"80","12","","","","",""
"CAREDISP09","CRD","判定分類－超音波",,"90","15","","","","",""
"CAREDISP10","CRD","判定分類－便潜血",,"100","11","","","","",""
"CAREDISP11","CRD","判定分類－腎泌尿",,"200","5","","","","",""
"CAREDISP12","CRD","判定分類－肝機能",,"210","6","","","","",""
"CAREDISP13","CRD","判定分類－血液脂質",,"220","7","","","","",""
"CAREDISP14","CRD","判定分類－糖尿",,"230","8","","","","",""
"CAREDISP15","CRD","判定分類－尿酸",,"240","9","","","","",""
"CAREDISP16","CRD","判定分類－血液一般",,"250","10","","","","",""
"CMTPERIOD","CMT","コメント一覧の表示期間",,"yyyy","-2","","","","",""
"CSC0101","CSC","コースグループ０１－０１",,"100","","","","","",""
"CSC0102","CSC","コースグループ０１－０２",,"110","","","","","",""
"CSLDIV000","CDV","受診区分",,"指定なし","※システム固定で使用するため、削除、名称変更は行わないでください。","","","","",""
"CSLDIV001","CDV","受診区分",,"本人","","","","","",""
"CSLDIV002","CDV","受診区分",,"家族","","","","","",""
"CSLDIV003","CDV","受診区分",,"任意継続","","","","","",""
"CSLDIV004","CDV","受診区分",,"特例退職","","","","","",""
"CSLDIV005","CDV","受診区分",,"役員","","","","","",""
"CSLDIV006","CDV","受診区分",,"本社","","","","","",""
"CSLDIV007","CDV","受診区分",,"関連会社","","","","","",""
"CSLDIV008","CDV","受診区分",,"主婦","","","","","",""
"CSLDIV009","CDV","受診区分",,"特別","","","","","",""
"CSLDIV010","CDV","受診区分",,"対象年齢","","","","","",""
"CSLDIV011","CDV","受診区分",,"対象年齢外","","","","","",""
"CSLDIV012","CDV","受診区分",,"窓口支払い","","","","","",""
"CSLDIV013","CDV","受診区分",,"団体払い","","","","","",""
"CSLDIV014","CDV","受診区分",,"一時帰国","","","","","",""
"CSLDIV901","CDV","受診区分",,"【旧】定年退職","","","","","",""
"CSLDIV902","CDV","受診区分",,"【旧】特定","","","","","",""
"CSLDIV903","CDV","受診区分",,"【旧】希望","","","","","",""
"CSLDIV904","CDV","受診区分",,"【旧】年齢条件","","","","","",""
"CSLDIV905","CDV","受診区分",,"【旧】その他","","","","","",""
"CSLDIV906","CDV","受診区分",,"【旧】性別","","","","","",""
"CSLDIV999","CDV","受診区分",,"×不明","","","","","",""
"CSP01","CSP","コースグループ０１",,"一日人間ドック＋企業検診","CSC01","","","","",""
"FRARSVINIT","FRA","予約枠検索初期設定",,"5","10","","","","",""
"FREEDIV01","RSV","予約時のフリー区分",,"8：30","","","","","",""
"FREEDIV02","RSV","予約時のフリー区分",,"8：45","","","","","",""
"FREEDIV03","RSV","予約時のフリー区分",,"9：00","","","","","",""
"FREEDIV04","RSV","予約時のフリー区分",,"9：15","","","","","",""
"FREEDIV05","RSV","予約時のフリー区分",,"9：30","","","","","",""
"FREEDIV06","RSV","予約時のフリー区分",,"10：00","","","","","",""
"FREEDIV07","RSV","予約時のフリー区分",,"10：30","","","","","",""
"FREEDIV08","RSV","予約時のフリー区分",,"11：00","","","","","",""
"FREEDIV09","RSV","予約時のフリー区分",,"13：30","","","","","",""
"FREEDIV10","RSV","予約時のフリー区分",,"14：00","","","","","",""
"HTMLREPPATH","XXX","HTML報告書ファイル格納パス",,"\\10.249.78.25\webHains\wwwRoot\HTML\","","","","","",""
"INQREPORTURL","XXX","HTML報告書用健診歴表示URL",,"http://10.249.78.26/webhains/contents/inquiry/inqReport.asp","","","","","",""
"LOGBILLC","LOG","請求締め処理",,"","","","","","",""
"LOGREMONEY","LOG","個人受診金額再作成",,"","","","","","",""
"LOGREQISP","LOG","検査依頼",,"","","","","","",""
"LOGRESISP","LOG","検査結果取り込み",,"","","","","","",""
"GOODCMT","JUD","自動判定にてコメントなしの受診者に充当するコメント",03-12-30,"104001","","","","","",""
"SDI1","SDI","SDI値算出用基礎データ",,"0","51.08","11.96","0.568","0.435","",""
"LST0050102","LST","３ヶ月推移　ドック対象コース",,"800","","","","","",""
"NATION1801","NAT","国籍",,"デンマーク王国","","","","","",""
"NATION1900","NAT","国籍",,"ドイツ連邦共和国","","","","","",""
"NATION1901","NAT","国籍",,"トゥヴァル","","","","","",""
"NATION2000","NAT","国籍",,"トーゴー共和国","","","","","",""
"NATION2001","NAT","国籍",,"ドミニカ共和国","","","","","",""
"NATION2002","NAT","国籍",,"ドミニカ国","","","","","",""
"NATION2003","NAT","国籍",,"トリニダッド・トバゴ共和国","","","","","",""
"NATION2004","NAT","国籍",,"トルクメニスタン","","","","","",""
"NATION2005","NAT","国籍",,"トルコ共和国","","","","","",""
"NATION2006","NAT","国籍",,"トンガ王国","","","","","",""
"NATION2100","NAT","国籍",,"ナウル共和国","","","","","",""
"NATION2101","NAT","国籍",,"ナイジェリア連邦共和国","","","","","",""
"NATION2102","NAT","国籍",,"ナミビア共和国","","","","","",""
"NATION2200","NAT","国籍",,"ニウエ","","","","","",""
"NATION2201","NAT","国籍",,"ニカラグァ共和国","","","","","",""
"NATION2202","NAT","国籍",,"ニジェール共和国","","","","","",""
"NATION2203","NAT","国籍",,"日本","","","","","",""
"NATION2204","NAT","国籍",,"ニュージーランド","","","","","",""
"NATION2300","NAT","国籍",,"ネパール王国","","","","","",""
"NATION2400","NAT","国籍",,"ノールウェー王国","","","","","",""
"NATION2500","NAT","国籍",,"ハイティ共和国","","","","","",""
"NATION2600","NAT","国籍",,"パキスタン・イスラム共和国","","","","","",""
"NATION2601","NAT","国籍",,"パナマ共和国","","","","","",""
"NATION2602","NAT","国籍",,"バハマ国","","","","","",""
"NATION2603","NAT","国籍",,"バハレーン国","","","","","",""
"NATION2604","NAT","国籍",,"パプア・ニューギニア","","","","","",""
"NATION2605","NAT","国籍",,"パラオ共和国","","","","","",""
"NATION2606","NAT","国籍",,"パラグアイ共和国","","","","","",""
"NATION2607","NAT","国籍",,"バルバドス","","","","","",""
"NATION2608","NAT","国籍",,"パレスチナ解放機構（ＰＬＯ）","","","","","",""
"NATION2609","NAT","国籍",,"ハンガリー共和国","","","","","",""
"NATION2610","NAT","国籍",,"バングラディシュ人民共和国","","","","","",""
"NATION2700","NAT","国籍",,"東ティモール","","","","","",""
"NATION2800","NAT","国籍",,"フィジー諸島共和国","","","","","",""
"NATION2801","NAT","国籍",,"フィリピン共和国","","","","","",""
"NATION2802","NAT","国籍",,"フィンランド共和国","","","","","",""
"NATION2803","NAT","国籍",,"ブータン王国","","","","","",""
"NATION2804","NAT","国籍",,"ブラジル連邦共和国","","","","","",""
"NATION2805","NAT","国籍",,"フランス共和国","","","","","",""
"NATION2806","NAT","国籍",,"ブルガリア共和国","","","","","",""
"NATION2807","NAT","国籍",,"ブルキナ・ファソ","","","","","",""
"NATION2808","NAT","国籍",,"ブルネイ・ダルサラーム国","","","","","",""
"NATION2809","NAT","国籍",,"ブルンディ共和国","","","","","",""
"NATION2900","NAT","国籍",,"ベナン共和国","","","","","",""
"NATION2901","NAT","国籍",,"ベラルーシ共和国","","","","","",""
"NATION2902","NAT","国籍",,"ベリーズ","","","","","",""
"NATION2903","NAT","国籍",,"ペルー共和国","","","","","",""
"NATION2904","NAT","国籍",,"ベルギー王国","","","","","",""
"NATION3000","NAT","国籍",,"ポーランド共和国","","","","","",""
"NATION3001","NAT","国籍",,"ボスニア・ヘルツェゴヴィナ","","","","","",""
"NATION3002","NAT","国籍",,"ボツワナ共和国","","","","","",""
"NATION3003","NAT","国籍",,"ボリヴィア共和国","","","","","",""
"NATION3004","NAT","国籍",,"ポルトガル共和国","","","","","",""
"NATION3005","NAT","国籍",,"香港特別行政区（ホンコン）","","","","","",""
"NATION3006","NAT","国籍",,"ホンデュラス共和国","","","","","",""
"NATION3100","NAT","国籍",,"マーシャル諸島共和国","","","","","",""
"NATION3101","NAT","国籍",,"マカオ（澳門）","","","","","",""
"NATION3102","NAT","国籍",,"マケドニア・旧ユーゴースラヴィア共和国","","","","","",""
"NATION3103","NAT","国籍",,"マダガスカル共和国","","","","","",""
"NATION3104","NAT","国籍",,"マラウィ共和国","","","","","",""
"NATION3105","NAT","国籍",,"マリ共和国","","","","","",""
"NATION3106","NAT","国籍",,"マルタ共和国","","","","","",""
"NATION3107","NAT","国籍",,"マレーシア","","","","","",""
"NATION3200","NAT","国籍",,"ミクロネシア連邦","","","","","",""
"NATION3201","NAT","国籍",,"南アフリカ共和国","","","","","",""
"NATION3202","NAT","国籍",,"ミャンマー連邦","","","","","",""
"NATION3300","NAT","国籍",,"メキシコ合衆国","","","","","",""
"NATION3400","NAT","国籍",,"モーリシァス共和国","","","","","",""
"NATION3401","NAT","国籍",,"モーリタニア・イスラム共和国","","","","","",""
"NATION3402","NAT","国籍",,"モザンビーク共和国","","","","","",""
"NATION3403","NAT","国籍",,"モナコ","","","","","",""
"NATION3404","NAT","国籍",,"モルディヴ共和国","","","","","",""
"NATION3405","NAT","国籍",,"モルドヴァ共和国","","","","","",""
"NATION3406","NAT","国籍",,"モロッコ王国","","","","","",""
"NATION3407","NAT","国籍",,"モンゴル国","","","","","",""
"NATION3500","NAT","国籍",,"ユーゴースラヴィア連邦共和国","","","","","",""
"NATION3600","NAT","国籍",,"ラオス人民民主共和国","","","","","",""
"NATION3601","NAT","国籍",,"ラトヴィア共和国","","","","","",""
"NATION3700","NAT","国籍",,"リトアニア共和国","","","","","",""
"NATION3701","NAT","国籍",,"リヒテンシュタイン公国","","","","","",""
"NATION3702","NAT","国籍",,"社会主義人民リビア・アラブ国","","","","","",""
"NATION3703","NAT","国籍",,"リベリア共和国","","","","","",""
"NATION3800","NAT","国籍",,"ルーマニア","","","","","",""
"NATION3801","NAT","国籍",,"ルクセンブルク大公国","","","","","",""
"NATION3802","NAT","国籍",,"ルワンダ共和国","","","","","",""
"NATION3900","NAT","国籍",,"レソト王国","","","","","",""
"NATION3901","NAT","国籍",,"レバノン共和国","","","","","",""
"NATION4000","NAT","国籍",,"ロシア連邦","","","","","",""
"NATION9900","NAT","国籍",,"不明","","","","","",""
"NENDOSEP","NEN","年度の区切りとなる日付",03-03-31,"※年度の区切り日付設定値における年は無視","","","","","",""
"NOFRARSV","XXX","コース枠なし予約",,"1","","","","","",""
"OPT001","OPT","オプション検査面接表示名称",,"01","乳房X線","X065","","","",""
"OPT002","OPT","オプション検査面接表示名称",,"03","胸部CT","X057","","","",""
"OPT003","OPT","オプション検査面接表示名称",,"04","胸部X線","X058","","","",""
"OPT004","OPT","オプション検査面接表示名称",,"05","内視鏡(上部消化管)","X059","","","",""
"OPT005","OPT","オプション検査面接表示名称",,"06","上部消化管X線","X060","","","",""
"OPT006","OPT","オプション検査面接表示名称",,"07","OP内視鏡(大腸)","X063","","","",""
"OPT007","OPT","オプション検査面接表示名称",,"08","メンタル","X062","","","",""
"ORDDIV000001","ORD","検体検査",,"1","","","","","",""
"ORDDIV000002","ORD","血型",,"2","","1602000","","","",""
"ORDDIV000003","ORD","血型・検体検査",,"1","","","","","",""
"ORDDIV000004","ORD","病理喀痰",,"3","","2114001","","","",""
"ORDDIV000005","ORD","病理婦人科",,"4","2705001","2705002","","","",""
"ORDDIV000006","ORD","心電図",,"5","2216001","","","","",""
"ORDDIV000007","ORD","腹部超音波",,"6","2412001","","","","",""
"ORDDIV000008","ORD","乳房超音波",,"6","2870001","","","","",""
"ORDDIV000009","ORD","胸部Ｘ線検査",,"6","2103001","2109000","","","",""
"ORDDIV000010","ORD","胸部ＣＴ検査",,"6","2122001","","","","",""
"ORDDIV000011","ORD","上部消化管",,"6","2305001","","","","",""
"ORDDIV000012","ORD","乳房Ｘ線",,"6","2777001","","","","",""
"ORDDIV000013","ORD","眼底",,"6","1150001","","","","",""
"ORDDIV000014","ORD","上部内視鏡",,"6","2314001","","","","",""
"ORDDIV000015","ORD","下部内視鏡",,"6","2351001","","","","",""
"ORDDIV000090","ORD","健診成績書",,"7","","","","","",""
"ORGDIV00","ORG","団体種別",,"健保連","","","","","",""
"ORGDIV01","ORG","団体種別",,"直接契約","","","","","",""
"ORGDIV02","ORG","団体種別",,"直接契約（関連会社）","","","","","",""
"ORGDIV03","ORG","団体種別",,"使用せず","","","","","",""
"ORGSPARE1","ORG","汎用項目名その１",,"","","","","","",""
"ORGSPARE2","ORG","汎用項目名その２",,"","","","","","",""
"ORGSPARE3","ORG","汎用項目名その３",,"","","","","","",""
"PARSPARE4","XXX","汎用項目名その４",,"","","","","","",""
"PERINSPECT","PER","（★重要）個人検査情報グループコード",,"PER","","","","","",""
"PERSPARE1","PER","汎用項目(1)",,"","","","","","",""
"PERSPARE2","PER","汎用項目(2)",,"","","","","","",""
"PERSPARE3","PER","汎用項目(3)",,"","","","","","",""
"PERSPARE4","PER","汎用項目(4)",,"","","","","","",""
"PERSPARE5","PER","汎用項目(5)",,"","","","","","",""
"PERSPARE6","PER","汎用項目(6)",,"","","","","","",""
"PERSPARE7","PER","汎用項目(7)",,"","","","","","",""
"PRICE","XXX","適用金額",02-04-01,"2","1","","","","",""
"RSVINTERVAL","RSV","はがきから送付案内への切り替えを行う日数",15-10-28,"14","","","","","",""
"RSVLIST1","XXX","受診者一覧表示順",,"12,2,4,39,11,17,16,7,8,9,10","","","","","",""
"RSVLIST2","XXX","追加検査表示",,"12,20,2,4,11,17,16,7,9,10,14","","","","","",""
"RSVLIST3","XXX","受診検査項目表示",,"12,2,4,11,17,16,10,18","","","","","",""
"RSVLIST4","XXX","追加検査＆受診項目",,"12,2,4,11,17,16,10,14,18","","","","","",""
"RSVLIST5","XXX","基本情報すべて",,"12,2,4,11,17,16,7,8,10,1,5,6,9,13,21,22,23,24,25,26,27,28,29,30,31,32","","","","","",""
"RSVLIST6","XXX","個人情報順",,"10,21,16,7,8,33,34,12,4,11,2,35","","","","","",""
"RSVLIST7","XXX","サブコース一覧",,"12,11,4,16,10,32","","","","","",""
"RSVLIST8","XXX","予約専用",,"12,2,4,39,11,17,16,7,8,9,10,36,37,38,40","","","","","",""
"RSVMARK1","XXX","空きあり",,"6","9999","○","","","",""
"RSVMARK2","XXX","残り僅か",,"4","5","△","","","",""
"RSVMARK3","XXX","予約不可",,"-9999","0","×","","","",""
"RSVMARK4","XXX","枠マーク（残り僅か）",,"1","3","@","","","",""
"RSVNO","RSV","予約番号発番管理",,"251","","","","","",""
"RSVSETGRP001","RSG","予約群セットグループ",,"１群のみ","","","","","",""
"RSVSETGRP002","RSG","予約群セットグループ",,"２＋３群","","","","","",""
"RSVSETGRP003","RSG","予約群セットグループ",,"４＋５群","","","","","",""
"RSVSETGRP004","RSG","予約群セットグループ",,"６＋７群","","","","","",""
"RSVSETGRP005","RSG","予約群セットグループ",,"８群のみ","","","","","",""
"RSVSETGRP006","RSG","予約群セットグループ",,"午前","","","","","",""
"RSVSETGRP007","RSG","予約群セットグループ",,"午後","","","","","",""
"RSVSETGRP250","RSG","予約群セットグループ",,"なし","","","","","",""
"TAX","XXX","適用税額",14-04-01,"0.08","0.08","","","","",""
"TEISEI1","XXX","定性結果変換",,"(-)","-","","","","",""
"TEISEI10","XXX","定性結果変換",,"(8+)","8+","","","","",""
"TEISEI11","XXX","定性結果変換",,"(9+)","9+","","","","",""
"TEISEI12","XXX","定性結果変換",,"(+-)","+-","","","","",""
"TEISEI13","XXX","定性結果変換",,"(+/-)","+-","","","","",""
"TEISEI2","XXX","定性結果変換",,"(+)","+","","","","",""
"TEISEI3","XXX","定性結果変換",,"(1+)","+","","","","",""
"TEISEI4","XXX","定性結果変換",,"(2+)","2+","","","","",""
"TEISEI5","XXX","定性結果変換",,"(3+)","3+","","","","",""
"TEISEI6","XXX","定性結果変換",,"(4+)","4+","","","","",""
"TEISEI7","XXX","定性結果変換",,"(5+)","5+","","","","",""
"TEISEI8","XXX","定性結果変換",,"(6+)","6+","","","","",""
"TEISEI9","XXX","定性結果変換",,"(7+)","7+","","","","",""
"SDI13022002","SDI","SDI値算出用基礎データ",,"0","105.44","13.94","-0.264","0.200","",""
"SDI13023001","SDI","SDI値算出用基礎データ",,"0","3175.82","636.30","0.018","-0.188","",""
"SDI13023002","SDI","SDI値算出用基礎データ",,"0","2331.45","449.20","0.018","-0.188","",""
"SDI13120011","SDI","SDI値算出用基礎データ",,"1","2.08","0.06","0.185","0.275","",""
"SDI13120012","SDI","SDI値算出用基礎データ",,"1","2.05","0.07","0.185","0.275","",""
"SDI13120021","SDI","SDI値算出用基礎データ",,"1","1.88","0.06","-0.168","0.057","",""
"SDI13120022","SDI","SDI値算出用基礎データ",,"1","1.84","0.07","-0.168","0.057","",""
"SDI15020001","SDI","SDI値算出用基礎データ",,"1","0.73","0.11","-0.007","-0.033","",""
"SDI15020002","SDI","SDI値算出用基礎データ",,"1","0.69","0.10","-0.007","-0.033","",""
"SDI15021001","SDI","SDI値算出用基礎データ",,"0","4.66","0.36","-0.045","-0.292","",""
"SDI15021002","SDI","SDI値算出用基礎データ",,"4","2.05","0.07","-0.045","-0.292","",""
"SDI15022001","SDI","SDI値算出用基礎データ",,"0","14.74","0.95","0.183","-0.160","",""
"SDI15022002","SDI","SDI値算出用基礎データ",,"3","2156.36","465.33","0.183","-0.160","",""
"SDI15023001","SDI","SDI値算出用基礎データ",,"2","1896.07","237.77","-0.179","0.456","",""
"SDI15023002","SDI","SDI値算出用基礎データ",,"3","55928.15","11657.71","-0.179","0.456","",""
"SDI17020001","SDI","SDI値算出用基礎データ",,"6","1.62","0.02","0.073","0.152","",""
"SDI17020002","SDI","SDI値算出用基礎データ",,"1","0.84","0.02","0.073","0.152","",""
"SDI17025001","SDI","SDI値算出用基礎データ",,"1","-0.14","0.15","0.087","0.078","",""
"SDI17025002","SDI","SDI値算出用基礎データ",,"1","-0.18","0.14","0.087","0.078","",""
"SDI17027001","SDI","SDI値算出用基礎データ",,"1","1.34","0.13","0.110","0.038","",""
"SDI17027002","SDI","SDI値算出用基礎データ",,"1","1.27","0.11","0.110","0.038","",""
"SDI17028001","SDI","SDI値算出用基礎データ",,"1","1.36","0.23","-0.036","0.026","",""
"SDI17028002","SDI","SDI値算出用基礎データ",,"1","1.17","0.19","-0.036","0.026","",""
"SDI17029001","SDI","SDI値算出用基礎データ",,"1","1.63","0.30","-0.051","0.077","",""
"SDI17029002","SDI","SDI値算出用基礎データ",,"1","1.30","0.23","-0.051","0.077","",""
"SDI17030001","SDI","SDI値算出用基礎データ",,"1","2.50","0.06","0.044","0.104","",""
"SDI17030002","SDI","SDI値算出用基礎データ",,"1","2.50","0.07","0.044","0.104","",""
"SDI17031001","SDI","SDI値算出用基礎データ",,"1","2.14","0.11","0.076","0.041","",""
"SDI17031002","SDI","SDI値算出用基礎データ",,"1","2.11","0.14","0.076","0.041","",""
"SDI17220001","SDI","SDI値算出用基礎データ",,"1","1.17","0.09","-0.151","-0.053","",""
"SDI17220002","SDI","SDI値算出用基礎データ",,"1","1.12","0.10","-0.151","-0.053","",""
"SDI17221001","SDI","SDI値算出用基礎データ",,"1","-0.08","0.06","-0.018","-0.029","",""
"SDI17221002","SDI","SDI値算出用基礎データ",,"6","0.88","0.03","-0.018","-0.029","",""
"SDI17320001","SDI","SDI値算出用基礎データ",,"0","6.21","1.21","0.026","0.166","",""
"SDI17320002","SDI","SDI値算出用基礎データ",,"4","2.11","0.22","0.026","0.166","",""
"SDI17420001","SDI","SDI値算出用基礎データ",,"1","2.05","0.23","-0.059","-0.096","",""
"SDI17420002","SDI","SDI値算出用基礎データ",,"1","1.84","0.20","-0.059","-0.096","",""
"SDI17421001","SDI","SDI値算出用基礎データ",,"5","5.86","0.31","0.223","0.032","",""
"SDI17421002","SDI","SDI値算出用基礎データ",,"5","5.90","0.33","0.223","0.032","",""
"SDI17422001","SDI","SDI値算出用基礎データ",,"0","120.16","29.25","-0.189","-0.042","",""
"SDI17422002","SDI","SDI値算出用基礎データ",,"4","10.81","1.44","-0.189","-0.042","",""
"SDI17423001","SDI","SDI値算出用基礎データ",,"1","1.74","0.10","-0.255","-0.148","",""
"SDI17423002","SDI","SDI値算出用基礎データ",,"5","4.13","0.30","-0.255","-0.148","",""
"SDI17520001","SDI","SDI値算出用基礎データ",,"1","2.00","0.07","0.295","-0.428","",""
"SDI17520002","SDI","SDI値算出用基礎データ",,"1","1.97","0.04","0.295","-0.428","",""
"SDI17522001","SDI","SDI値算出用基礎データ",,"1","0.72","0.04","0.480","-0.376","",""
